EventId,EventTemplate,Occurrences
cf66561e,"Node card status: ALERT <*>, ALERT <*>, ALERT <*>, ALERT <*> is (are) active. Clock Mode is Low. Clock Select is Midplane. Phy JTAG Reset is asserted. ASIC JTAG Reset is not asserted. Temperature Mask is not active. No temperature error. Temperature Limit Error Latch is clear. PGOOD is asserted. PGOOD error latch is clear. MPGOOD is OK. MPGOOD error latch is clear. The <*>.<*> volt rail is OK. The <*>.<*> volt rail is OK.",1
19083ffd,Node card VPD check: <*> node in processor card slot <*> do not match. VPD ecid <*> found <*>,9
3c469b21,"idoproxydb hit ASSERT condition: ASSERT expression=<*> Source file=idotransportmgr.cpp Source line=<*> Function=int IdoTransportMgr::SendPacket(IdoUdpMgr*, BglCtlPavTrace*)",35
38657a2c,Node card status: no ALERTs are active. Clock Mode is Low. Clock Select is Midplane. Phy JTAG Reset is asserted. ASIC JTAG Reset is asserted. Temperature Mask is not active. No temperature error. Temperature Limit Error Latch is clear. PGOOD IS NOT ASSERTED. PGOOD ERROR LATCH IS ACTIVE. MPGOOD IS NOT OK. MPGOOD ERROR LATCH IS ACTIVE. The <*>.<*> volt rail is OK. The <*>.<*> volt rail is OK.,5
c9ede4b4,"PrepareForService shutting down NodeCard(mLctn(R25-M1-N2), mCardSernum(<*><*><*><*><*><*>), mLp(FF:F2:9F:<*>:CF:0F:<*>:0D:<*>:E9:<*>:F0), mIp(<*>), mType(<*>)) as part of Service Action <*>",1
e7a2e741,rts tree<*> link training failed: wanted: B C X+ X- Y+ Y- Z+ Z- got: B C X- Y- Z+ Z-,1
c3c18d52,<*> tree receiver <*> in re-synch state event(s) (dcr <*>) detected,3
31f89fcf,"ciod: Error loading <*>: invalid or missing program image, Exec format error",17
f9d6f989,ciod: Error reading message prefix after LOAD_MESSAGE on CioStream socket to <*> Link has been severed,9
130bb340,rts: kernel terminated for reason <*>,6
11b69b8b,ciod: generated <*> core files for program <*>,30
1b700d02,iar <*> dear <*>,208
1ac0755d,"NFS Mount failed on <*> slept <*> seconds, retrying (<*>)",2
d55367b1,Lustre mount FAILED : <*> : point <*>,9
2355b700,ciod: pollControlDescriptors: Detected the debugger died.,3
d838a825,"ciod: In packet from node <*>.<*> (R62-M1-Nf-C:J03-U11), message code <*> is not <*> or <*><*> (softheader=<*>)",1
ea3efa0b,suppressing further interrupts of same type,2
7dafc412,rts: bad message header: expecting type <*> instead of type <*> (softheader=<*>) PSR0=<*> PSR1=<*> PRXF=<*> PIXF=<*>,1
c88fcfab,critical input interrupt (unit=<*> bit=<*>): warning for torus <*> wire,2
62adcf76,"ciod: Error loading <*>: invalid or missing program image, Permission denied",19
f3eed4bf,data cache search parity error detected. attempting to correct,6
a828f891,shutdown complete,1
f41a7a7f,"Error receiving packet on tree network, expecting type <*> instead of type <*> (softheader=<*>) PSR0=<*> PSR1=<*> PRXF=<*> PIXF=<*>",5
5c01e067,3 L3 EDRAM error(s) (dcr <*>) detected and corrected,1
18ad7153,"critical input interrupt (unit=<*> bit=<*>): warning for <*> <*> wire, suppressing further interrupts of same type",3
9d7b38c9,<*> torus sender z- retransmission error(s) (dcr <*>) detected and corrected over <*> seconds,2
f9631383,"ciod: Received signal <*>, code=<*>, errno=<*>, address=<*>",16
4f1ef491,Lustre mount FAILED : <*> : block_id : location,2
cb8ca29b,MACHINE CHECK DCR read timeout (mc=e08x iar <*> lr <*>),7
4003f299,"ciod: Error reading message prefix on CioStream socket to <*>, Connection timed out",2
eb09b859,"ciod: Error reading message prefix on CioStream socket to <*>, <*> <*> <*> <*>",12
7732009b,dbcr0=<*> dbsr=<*> ccr0=<*>,1
8a37e31e,r24=<*> r25=<*> r26=<*> r27=<*>,1
a450c390,<*> tree receiver <*> in re-synch state event(s) (dcr <*>) detected over <*> seconds,2
d1b28731,0 microseconds spent in the rbs signal handler during <*> calls. <*> microseconds was the maximum time for a single instance of a correctable ddr.,51
0045c3a8,"<*> total interrupts. <*> critical input interrupts. <*> microseconds total spent on critical input interrupts, <*> microseconds max time in a critical input interrupt.",71
30b3b946,"<*> ddr error(s) detected and corrected on rank <*>, symbol <*> over <*> seconds",7
d7b0e6cf,"PrepareForService shutting down Node card(mLctn(R10-M1-N2), mCardSernum(<*><*><*><*><*><*>), mLp(FF:F2:9F:<*>:E0:DA:<*>:0D:<*>:E9:1F:<*>), mIp(<*>), mType(<*>)) as part of Service Action <*>",1
8ddc7b2c,"Kernel detected <*> integer alignment exceptions (<*>) iar <*>, dear <*> (<*>) iar <*>, dear <*> (<*>) iar <*>, dear <*> (<*>) iar <*>, dear <*> (<*>) iar <*>, dear <*> (<*>) iar <*>, dear <*> (<*>) iar <*>, dear <*> (<*>) iar <*>, dear <*>",9
8df7ac9e,total of <*> ddr error(s) detected and corrected over <*> seconds,4
de1bc002,minus normalized number..................<*>,1
c8e14b66,fraction rounded.........................<*>,1
c050ba70,size of scratchpad portion of L3.........<*> (0M),1
77e07614,ciod: LOGIN chdir(<*>) failed: Input<*> error,1
5d645f3e,2 L3 EDRAM error(s) (dcr <*>) detected and corrected over <*> seconds,1
adb4f080,"ciod: Error loading <*>: program image too big, <*><*> > <*><*>",1
3b0f76fc,fpr29=<*>,1
1a3df0d1,Machine State Register: <*>,1
